distance threshold,min length,downsampling factor,running time,agent traj ids count,distinct traj ids count
1.5,10,2,104.86111111111111,106.52777777777777,21.305555555555557
1.5,5,2,116.11111111111111,106.52777777777777,21.305555555555557
1.5,8,2,108.41666666666667,106.52777777777777,21.305555555555557
4,10,2,374.4166666666667,106.52777777777777,21.305555555555557
4,5,2,430.44444444444446,106.52777777777777,21.305555555555557
4,8,2,398.0,106.52777777777777,21.305555555555557
