iteration,distance threshold,min length,downsampling factor,agent traj ids count,distinct traj ids count,running time,team,game,delta
0,1.5,5,1,145,29,3903,1610612744,21500504,0.014211326788181903
1,1.5,8,1,145,29,871,1610612744,21500504,0.027524672004927548
2,1.5,10,1,145,29,834,1610612744,21500504,0.0018283428596597656
3,4,5,1,145,29,2899,1610612744,21500504,0.0011853744676216089
4,4,8,1,145,29,3048,1610612744,21500504,0.0010666105122848365
5,4,10,1,145,29,3043,1610612744,21500504,0.010616657562459546
6,1.5,5,1,170,34,1056,1610612744,21500520,0.0195998995847916
7,1.5,8,1,170,34,1056,1610612744,21500520,0.0010936233597089195
8,1.5,10,1,170,34,1146,1610612744,21500520,0.001043077528623592
9,4,5,1,170,34,4297,1610612744,21500520,0.0010936233597089195
10,4,8,1,170,34,4341,1610612744,21500520,0.017669731250810103
11,4,10,1,170,34,4341,1610612744,21500520,0.01900223047200034
12,1.5,5,1,160,32,957,1610612744,21500524,0.0010846257677190724
13,1.5,8,1,160,32,975,1610612744,21500524,0.0009608296282520159
14,1.5,10,1,160,32,1057,1610612744,21500524,0.0009608296282520159
15,4,5,1,160,32,3731,1610612744,21500524,0.01702898389381173
16,4,8,1,160,32,3811,1610612744,21500524,0.0184635284754803
17,4,10,1,160,32,3759,1610612744,21500524,0.0015001038445868553
18,1.5,5,1,150,30,858,1610612744,21500548,0.0012833321860737756
19,1.5,8,1,150,30,894,1610612744,21500548,0.0012833321860737756
20,1.5,10,1,150,30,934,1610612744,21500548,0.01214700638895233
21,4,5,1,150,30,3183,1610612744,21500548,0.012373369753425352
22,4,8,1,150,30,3417,1610612744,21500548,0.0015018287105813752
23,4,10,1,150,30,3377,1610612744,21500548,0.0013643696216975743
24,1.5,5,1,160,32,967,1610612744,21500556,0.0010308573168158796
25,1.5,8,1,160,32,999,1610612744,21500556,0.023561488073421847
26,1.5,10,1,160,32,1013,1610612744,21500556,0.01362890633519581
27,4,5,1,160,32,3850,1610612744,21500556,0.01362890633519581
28,4,8,1,160,32,3909,1610612744,21500556,0.0023522950993054947
29,4,10,1,160,32,4015,1610612744,21500556,0.001989061539760031
30,1.5,5,1,105,21,432,1610612744,21500568,0.0023522950993054947
31,1.5,8,1,105,21,474,1610612744,21500568,0.007436406633039409
32,1.5,10,1,105,21,501,1610612744,21500568,0.006893337507605248
33,4,5,1,105,21,1664,1610612744,21500568,0.016091375206006227
34,4,8,1,105,21,1606,1610612744,21500568,0.00224515524022807
35,4,10,1,105,21,1627,1610612744,21500568,0.0019320623049937237
36,1.5,5,1,130,26,692,1610612744,21500583,0.0019320623049937237
37,1.5,8,1,130,26,711,1610612744,21500583,0.028011588034699688
38,1.5,10,1,130,26,728,1610612744,21500583,0.018058701811061718
39,4,5,1,130,26,2345,1610612744,21500583,0.010752509475288656
40,4,8,1,130,26,2445,1610612744,21500583,0.00210387192628629
41,4,10,1,130,26,2454,1610612744,21500583,0.0024365127582478214
42,1.5,5,1,110,22,502,1610612744,21500592,0.0024365127582478214
43,1.5,8,1,110,22,546,1610612744,21500592,0.01532567049808429
44,1.5,10,1,110,22,546,1610612744,21500592,0.01532567049808429
45,4,5,1,110,22,1765,1610612744,21500592,0.01532567049808429
46,4,8,1,110,22,1775,1610612744,21500592,0.02700763593501768
47,4,10,1,110,22,1791,1610612744,21500592,0.02700763593501768
48,1.5,5,1,30,6,33,1610612744,21500622,0.02700763593501768
49,1.5,8,1,30,6,34,1610612744,21500622,0.0038751321872626428
50,1.5,10,1,30,6,30,1610612744,21500622,0.0038751321872626428
51,4,5,1,30,6,77,1610612744,21500622,0.0038751321872626428
52,4,8,1,30,6,81,1610612744,21500622,0.020147177949117415
53,4,10,1,30,6,81,1610612744,21500622,0.020147177949117415
54,1.5,5,1,80,16,258,1610612744,21500003,0.020147177949117415
55,1.5,8,1,80,16,297,1610612744,21500003,0.0035651507956287434
56,1.5,10,1,80,16,288,1610612744,21500003,0.0035651507956287434
57,4,5,1,80,16,707,1610612744,21500003,0.0035651507956287434
58,4,8,1,80,16,752,1610612744,21500003,0.015921157989969882
59,4,10,1,80,16,768,1610612744,21500003,0.028097723358445598
60,1.5,5,1,85,17,322,1610612744,21500035,0.015921157989969882
61,1.5,8,1,85,17,325,1610612744,21500035,0.0015904651896162612
62,1.5,10,1,85,17,335,1610612744,21500035,0.0017642151242421307
63,4,5,1,85,17,912,1610612744,21500035,0.0017642151242421307
64,4,8,1,85,17,959,1610612744,21500035,0.02759312680295999
65,4,10,1,85,17,1004,1610612744,21500035,0.02759312680295999
66,1.5,5,1,115,23,556,1610612744,21500051,0.02759312680295999
67,1.5,8,1,115,23,603,1610612744,21500051,0.005406581095140799
68,1.5,10,1,115,23,611,1610612744,21500051,0.005406581095140799
69,4,5,1,115,23,1769,1610612744,21500051,0.005406581095140799
70,4,8,1,115,23,1799,1610612744,21500051,0.010534158906144663
71,4,10,1,115,23,1894,1610612744,21500051,0.011008492358610861
72,1.5,5,1,70,14,213,1610612744,21500069,0.011008492358610861
73,1.5,8,1,70,14,182,1610612744,21500069,0.001149745501717709
74,1.5,10,1,70,14,187,1610612744,21500069,0.0009684344443942662
75,4,5,1,70,14,525,1610612744,21500069,0.0009684344443942662
76,4,8,1,70,14,580,1610612744,21500069,0.023406253529581957
77,4,10,1,70,14,577,1610612744,21500069,0.023406253529581957
78,1.5,5,1,175,35,1098,1610612744,21500083,0.0022843327610940927
79,1.5,8,1,175,35,1176,1610612744,21500083,0.0015423159166227766
80,1.5,10,1,175,35,1212,1610612744,21500083,0.0015423159166227766
81,4,5,1,175,35,4507,1610612744,21500083,0.023768485885457297
82,4,8,1,175,35,4575,1610612744,21500083,0.03177952067628277
83,4,10,1,175,35,4671,1610612744,21500083,0.027610283781685736
84,1.5,5,1,120,24,596,1610612744,21500092,0.002350075132221867
85,1.5,8,1,120,24,648,1610612744,21500092,0.002350075132221867
86,1.5,10,1,120,24,655,1610612744,21500092,0.002350075132221867
87,4,5,1,120,24,1919,1610612744,21500092,0.010616657562459546
88,4,8,1,120,24,2022,1610612744,21500092,0.0195998995847916
89,4,10,1,120,24,1989,1610612744,21500092,0.0013269878451595072
