min length,downsampling factor,running time,agent traj ids count,team,distinct traj ids count,iteration,game,distance threshold,delta
10,4,35,135,1610612744,27,200,21500397,1.5,
5,4,149,135,1610612744,27,201,21500397,4,
8,4,115,135,1610612744,27,202,21500397,4,
10,4,95,135,1610612744,27,203,21500397,4,
5,4,34,115,1610612744,23,204,21500434,1.5,
8,4,28,115,1610612744,23,205,21500434,1.5,
10,4,27,115,1610612744,23,206,21500434,1.5,
5,4,113,115,1610612744,23,207,21500434,4,
8,4,83,115,1610612744,23,208,21500434,4,
10,4,72,115,1610612744,23,209,21500434,4,
5,4,179,150,1610612744,30,21,21500548,4,0.0035802732780661427
5,4,28,100,1610612744,20,210,21500438,1.5,
8,4,25,100,1610612744,20,211,21500438,1.5,
10,4,20,100,1610612744,20,212,21500438,1.5,
5,4,73,100,1610612744,20,213,21500438,4,
8,4,58,100,1610612744,20,214,21500438,4,
10,4,52,100,1610612744,20,215,21500438,4,
5,4,46,150,1610612744,30,216,21500468,1.5,
8,4,46,150,1610612744,30,217,21500468,1.5,
10,4,36,150,1610612744,30,218,21500468,1.5,
5,4,183,150,1610612744,30,219,21500468,4,
8,4,132,150,1610612744,30,22,21500548,4,0.0035802732780661427
8,4,136,150,1610612744,30,220,21500468,4,
10,4,109,150,1610612744,30,221,21500468,4,
5,4,36,135,1610612744,27,222,21500480,1.5,
8,4,39,135,1610612744,27,223,21500480,1.5,
10,4,35,135,1610612744,27,224,21500480,1.5,
5,4,149,135,1610612744,27,225,21500480,4,
8,4,114,135,1610612744,27,226,21500480,4,
10,4,94,135,1610612744,27,227,21500480,4,
5,4,50,155,1610612744,31,228,21500485,1.5,
8,4,42,155,1610612744,31,229,21500485,1.5,
10,4,106,150,1610612744,30,23,21500548,4,0.0041781126242386515
10,4,38,155,1610612744,31,230,21500485,1.5,
5,4,231,155,1610612744,31,231,21500485,4,
8,4,157,155,1610612744,31,232,21500485,4,
10,4,131,155,1610612744,31,233,21500485,4,
5,4,25,95,1610612744,19,234,21500290,1.5,
8,4,20,95,1610612744,19,235,21500290,1.5,
10,4,17,95,1610612744,19,236,21500290,1.5,
5,4,76,95,1610612744,19,237,21500290,4,
8,4,60,95,1610612744,19,238,21500290,4,
10,4,48,95,1610612744,19,239,21500290,4,
5,4,56,160,1610612744,32,24,21500556,1.5,0.01532567049808429
8,4,49,160,1610612744,32,25,21500556,1.5,0.01532567049808429
10,4,39,160,1610612744,32,26,21500556,1.5,0.006851682997768731
5,4,217,160,1610612744,32,27,21500556,4,0.00764262181376799
8,4,169,160,1610612744,32,28,21500556,4,0.00764262181376799
10,4,137,160,1610612744,32,29,21500556,4,0.0035651507956287434
5,4,161,145,1610612744,29,3,21500504,4,0.001751206357053524
5,4,30,105,1610612744,21,30,21500568,1.5,0.011147547671166071
8,4,23,105,1610612744,21,31,21500568,1.5,0.011147547671166071
10,4,20,105,1610612744,21,32,21500568,1.5,0.002071476769337199
5,4,88,105,1610612744,21,33,21500568,4,0.002738529740718884
8,4,71,105,1610612744,21,34,21500568,4,0.003541795857677991
10,4,60,105,1610612744,21,35,21500568,4,0.005878238405797209
5,4,34,130,1610612744,26,36,21500583,1.5,0.00877963125548727
8,4,39,130,1610612744,26,37,21500583,1.5,0.00877963125548727
10,4,30,130,1610612744,26,38,21500583,1.5,0.0015654890745365622
5,4,131,130,1610612744,26,39,21500583,4,0.0018192394388067824
8,4,126,145,1610612744,29,4,21500504,4,0.0017603314804902027
8,4,99,130,1610612744,26,40,21500583,4,0.0019802895041063006
10,4,82,130,1610612744,26,41,21500583,4,0.0028980638871473137
5,4,32,110,1610612744,22,42,21500592,1.5,0.0030846318332455533
8,4,26,110,1610612744,22,43,21500592,1.5,0.003482118531538474
10,4,21,110,1610612744,22,44,21500592,1.5,0.0037570891924809287
5,4,103,110,1610612744,22,45,21500592,4,0.0035180275741885196
8,4,77,110,1610612744,22,46,21500592,4,0.0035180275741885196
10,4,64,110,1610612744,22,47,21500592,4,0.0020754595365748522
5,4,7,30,1610612744,6,48,21500622,1.5,0.002341902631467252
8,4,8,30,1610612744,6,49,21500622,1.5,0.003153991071371616
10,4,105,145,1610612744,29,5,21500504,4,0.0020754595365748522
10,4,6,30,1610612744,6,50,21500622,1.5,0.002623307665765288
5,4,13,30,1610612744,6,51,21500622,4,0.004988017995843871
8,4,12,30,1610612744,6,52,21500622,4,0.004988017995843871
10,4,8,30,1610612744,6,53,21500622,4,0.0024661431998291537
5,4,17,80,1610612744,16,54,21500003,1.5,0.0028698926887282174
8,4,16,80,1610612744,16,55,21500003,1.5,0.002884000395631912
10,4,14,80,1610612744,16,56,21500003,1.5,0.0020909673938262034
5,4,47,80,1610612744,16,57,21500003,4,0.0021355497831968165
8,4,39,80,1610612744,16,58,21500003,4,0.0030878680666167817
10,4,33,80,1610612744,16,59,21500003,4,0.005063028957601526
5,4,59,170,1610612744,34,6,21500520,1.5,0.0022406499749242498
5,4,20,85,1610612744,17,60,21500035,1.5,0.006126784607797266
8,4,21,85,1610612744,17,61,21500035,1.5,0.00644924695557607
10,4,19,85,1610612744,17,62,21500035,1.5,0.0028012366764167285
5,4,54,85,1610612744,17,63,21500035,4,0.003370887568350426
8,4,49,85,1610612744,17,64,21500035,4,0.003799747805062432
10,4,42,85,1610612744,17,65,21500035,4,0.0017557853106465787
5,4,35,115,1610612744,23,66,21500051,1.5,0.0019466435104717884
8,4,26,115,1610612744,23,67,21500051,1.5,0.0019466435104717884
10,4,23,115,1610612744,23,68,21500051,1.5,0.002193237372598036
5,4,105,115,1610612744,23,69,21500051,4,0.0028275257775291726
8,4,58,170,1610612744,34,7,21500520,1.5,0.0017825159029243502
8,4,79,115,1610612744,23,70,21500051,4,0.004166111905150561
10,4,64,115,1610612744,23,71,21500051,4,0.0028980638871473137
5,4,15,70,1610612744,14,72,21500069,1.5,0.0047188601558140544
8,4,16,70,1610612744,14,73,21500069,1.5,0.005433479926450883
10,4,14,70,1610612744,14,74,21500069,1.5,0.0022843327610940927
5,4,36,70,1610612744,14,75,21500069,4,0.0028980638871473137
8,4,30,70,1610612744,14,76,21500069,4,0.003021265847192746
10,4,28,70,1610612744,14,77,21500069,4,0.002193237372598036
5,4,61,175,1610612744,35,78,21500083,1.5,0.002193237372598036
8,4,60,175,1610612744,35,79,21500083,1.5,0.0028275257775291726
10,4,43,170,1610612744,34,8,21500520,1.5,0.0018911291552155083
10,4,53,175,1610612744,35,80,21500083,1.5,0.0014958868334722375
5,4,241,175,1610612744,35,81,21500083,4,0.0018223595711561488
8,4,181,175,1610612744,35,82,21500083,4,0.0021049332941462276
10,4,148,175,1610612744,35,83,21500083,4,0.004191218218826707
5,4,37,120,1610612744,24,84,21500092,1.5,0.00874709790719856
8,4,32,120,1610612744,24,85,21500092,1.5,0.011854599006303725
10,4,27,120,1610612744,24,86,21500092,1.5,0.0020681905676241848
5,4,108,120,1610612744,24,87,21500092,4,0.002884000395631912
8,4,85,120,1610612744,24,88,21500092,4,0.003378015606332974
10,4,73,120,1610612744,24,89,21500092,4,0.0023803462913547448
5,4,239,170,1610612744,34,9,21500520,4,0.0022994241273635568
5,4,28,115,1610612744,23,90,21500104,1.5,0.0021685927072613567
8,4,30,115,1610612744,23,91,21500104,1.5,0.004585502437596458
10,4,28,115,1610612744,23,92,21500104,1.5,0.004264595804311725
5,4,100,115,1610612744,23,93,21500104,4,0.004345598812535264
8,4,78,115,1610612744,23,94,21500104,4,0.006594830291092179
10,4,66,115,1610612744,23,95,21500104,4,0.0025089468479103094
5,4,53,170,1610612744,34,96,21500120,1.5,0.0029659650448197673
8,4,46,170,1610612744,34,97,21500120,1.5,0.004713157266295964
10,4,51,170,1610612744,34,98,21500120,1.5,0.0026056458164203183
5,4,249,170,1610612744,34,99,21500120,4,0.0033354613947176185
