iteration,distance threshold,min length,downsampling factor,agent traj ids count,distinct traj ids count,running time,team,game,delta
0,1.5,5,1,115,23,448,1610612739,21500499,0.023768485885457297
1,1.5,8,1,115,23,535,1610612739,21500499,0.027610283781685736
2,1.5,10,1,115,23,549,1610612739,21500499,0.001553611310431119
3,4,5,1,115,23,1800,1610612739,21500499,0.001553611310431119
4,4,8,1,115,23,1825,1610612739,21500499,0.001553611310431119
5,4,10,1,115,23,1839,1610612739,21500499,0.023548844940607355
6,1.5,5,1,70,14,165,1610612739,21500511,0.023548844940607355
7,1.5,8,1,70,14,202,1610612739,21500511,0.023548844940607355
8,1.5,10,1,70,14,227,1610612739,21500511,0.004832588196404339
9,4,5,1,70,14,533,1610612739,21500511,0.0076398791669685774
10,4,8,1,70,14,560,1610612739,21500511,0.0076398791669685774
11,4,10,1,70,14,572,1610612739,21500511,0.012497276185665979
12,1.5,5,1,120,24,567,1610612739,21500527,0.010950656277045924
13,1.5,8,1,120,24,624,1610612739,21500527,0.006905392197790864
14,1.5,10,1,120,24,613,1610612739,21500527,0.0017675730505716972
15,4,5,1,120,24,1900,1610612739,21500527,0.0017675730505716972
16,4,8,1,120,24,2042,1610612739,21500527,0.0017567767580205422
17,4,10,1,120,24,2098,1610612739,21500527,0.02586711003925299
18,1.5,5,1,125,25,617,1610612739,21500543,0.029665646937705858
19,1.5,8,1,125,25,654,1610612739,21500543,0.0023338745900077884
20,1.5,10,1,125,25,670,1610612739,21500543,0.0019313043192777908
21,4,5,1,125,25,2332,1610612739,21500543,0.0019313043192777908
22,4,8,1,125,25,2418,1610612739,21500543,0.027499057417191698
23,4,10,1,125,25,2399,1610612739,21500543,0.01747986917353633
24,1.5,5,1,100,20,354,1610612739,21500559,0.01747986917353633
25,1.5,8,1,100,20,410,1610612739,21500559,0.0023293442683659836
26,1.5,10,1,100,20,440,1610612739,21500559,0.004725117525054829
27,4,5,1,100,20,1403,1610612739,21500559,0.004725117525054829
28,4,8,1,100,20,1465,1610612739,21500559,0.03672871848517537
29,4,10,1,100,20,1476,1610612739,21500559,0.022713224229144374
30,1.5,5,1,95,19,369,1610612739,21500575,0.022713224229144374
31,1.5,8,1,95,19,369,1610612739,21500575,0.003064756074619911
32,1.5,10,1,95,19,388,1610612739,21500575,0.003064756074619911
33,4,5,1,95,19,1093,1610612739,21500575,0.003064756074619911
34,4,8,1,95,19,1174,1610612739,21500575,0.023548844940607355
35,4,10,1,95,19,1194,1610612739,21500575,0.023548844940607355
36,1.5,5,1,70,14,174,1610612739,21500601,0.023548844940607355
37,1.5,8,1,70,14,221,1610612739,21500601,0.0033964680202799072
38,1.5,10,1,70,14,231,1610612739,21500601,0.004273510768122528
39,4,5,1,70,14,553,1610612739,21500601,0.004273510768122528
40,4,8,1,70,14,566,1610612739,21500601,0.004737647356959232
41,4,10,1,70,14,599,1610612739,21500601,0.009614137250097295
42,1.5,5,1,55,11,125,1610612739,21500622,0.010848708442398668
43,1.5,8,1,55,11,130,1610612739,21500622,0.017612738573383066
44,1.5,10,1,55,11,124,1610612739,21500622,0.022695988957869388
45,4,5,1,55,11,334,1610612739,21500622,0.001761871463649417
46,4,8,1,55,11,347,1610612739,21500622,0.0013429067533957762
47,4,10,1,55,11,375,1610612739,21500622,0.0014891240487374493
48,1.5,5,1,130,26,622,1610612739,21500011,0.034655218199522
49,1.5,8,1,130,26,660,1610612739,21500011,0.034655218199522
50,1.5,10,1,130,26,675,1610612739,21500011,0.011855732541941735
51,4,5,1,130,26,2388,1610612739,21500011,0.003951910847313912
52,4,8,1,130,26,2396,1610612739,21500011,0.003951910847313912
53,4,10,1,130,26,2487,1610612739,21500011,0.003951910847313912
54,1.5,5,1,80,16,238,1610612739,21500021,0.02700763593501768
55,1.5,8,1,80,16,303,1610612739,21500021,0.02700763593501768
56,1.5,10,1,80,16,304,1610612739,21500021,0.02700763593501768
57,4,5,1,80,16,737,1610612739,21500021,0.0036098327416064398
58,4,8,1,80,16,799,1610612739,21500021,0.0038751321872626428
59,4,10,1,80,16,855,1610612739,21500021,0.0036098327416064398
60,1.5,5,1,80,16,253,1610612739,21500046,0.015387550520910358
61,1.5,8,1,80,16,291,1610612739,21500046,0.012495153806453524
62,1.5,10,1,80,16,240,1610612739,21500046,0.012495153806453524
63,4,5,1,80,16,722,1610612739,21500046,0.003021901396590016
64,4,8,1,80,16,739,1610612739,21500046,0.0032394843201916544
65,4,10,1,80,16,800,1610612739,21500046,0.0013040133885281909
66,1.5,5,1,85,17,291,1610612739,21500063,0.01884404018135899
67,1.5,8,1,85,17,292,1610612739,21500063,0.011205698726999667
68,1.5,10,1,85,17,351,1610612739,21500063,0.011205698726999667
69,4,5,1,85,17,927,1610612739,21500063,0.0034938764510233844
70,4,8,1,85,17,1045,1610612739,21500063,0.0034938764510233844
71,4,10,1,85,17,1007,1610612739,21500063,0.0034938764510233844
72,1.5,5,1,95,19,372,1610612739,21500078,0.006599142355413324
73,1.5,8,1,95,19,376,1610612739,21500078,0.015147526376541584
74,1.5,10,1,95,19,437,1610612739,21500078,0.015147526376541584
75,4,5,1,95,19,1169,1610612739,21500078,0.0020807290544529525
76,4,8,1,95,19,1289,1610612739,21500078,0.0018394097861358482
77,4,10,1,95,19,1314,1610612739,21500078,0.001898598830264224
78,1.5,5,1,115,23,552,1610612739,21500094,0.024273106608956638
79,1.5,8,1,115,23,583,1610612739,21500094,0.024273106608956638
80,1.5,10,1,115,23,549,1610612739,21500094,0.0025812821060750947
81,4,5,1,115,23,2166,1610612739,21500094,0.0015657772989014515
82,4,8,1,115,23,2137,1610612739,21500094,0.0016076295735433165
83,4,10,1,115,23,2213,1610612739,21500094,0.015758391649626516
84,1.5,5,1,110,22,502,1610612739,21500106,0.036438008598471947
85,1.5,8,1,110,22,464,1610612739,21500106,0.02006782936605499
86,1.5,10,1,110,22,544,1610612739,21500106,0.001099422673229757
87,4,5,1,110,22,1609,1610612739,21500106,0.0010992028161772426
88,4,8,1,110,22,1680,1610612739,21500106,0.0011217709978979464
89,4,10,1,110,22,1659,1610612739,21500106,0.034655218199522
90,1.5,5,1,135,27,657,1610612739,21500130,0.034655218199522
91,1.5,8,1,135,27,709,1610612739,21500130,0.011855732541941735
92,1.5,10,1,135,27,695,1610612739,21500130,0.003642627403518432
93,4,5,1,135,27,2479,1610612739,21500130,0.003642627403518432
94,4,8,1,135,27,2574,1610612739,21500130,0.003642627403518432
95,4,10,1,135,27,2688,1610612739,21500130,0.02843688288337461
96,1.5,5,1,80,16,233,1610612739,21500141,0.022695988957869388
97,1.5,8,1,80,16,297,1610612739,21500141,0.001761871463649417
98,1.5,10,1,80,16,301,1610612739,21500141,0.001761871463649417
99,4,5,1,80,16,748,1610612739,21500141,0.001761871463649417
100,4,8,1,80,16,787,1610612739,21500141,0.034655218199522
101,4,10,1,80,16,795,1610612739,21500141,0.034655218199522
102,1.5,5,1,130,26,752,1610612739,21500160,0.011855732541941735
103,1.5,8,1,130,26,691,1610612739,21500160,0.003642627403518432
104,1.5,10,1,130,26,787,1610612739,21500160,0.003642627403518432
105,4,5,1,130,26,2441,1610612739,21500160,0.003642627403518432
106,4,8,1,130,26,2501,1610612739,21500160,0.020605872907365385
107,4,10,1,130,26,2450,1610612739,21500160,0.020605872907365385
108,1.5,5,1,80,16,264,1610612739,21500176,0.002008516670546603
109,1.5,8,1,80,16,245,1610612739,21500176,0.002008516670546603
110,1.5,10,1,80,16,288,1610612739,21500176,0.0018083902676331602
