player_id,player_name,player_positions,jersey,position_number
203485,Lorenzo Brown,G,41,1
203912,C.J. Wilcox,G,30,1
2571,Leandro Barbosa,G,19,1
201619,Sasha Kaun,C,14,5
204014,Damjan Rudez,F,10,3
203078,Bradley Beal,G,3,1
1626245,Cristiano Felicio,F-C,6,4
1626185,Jarell Martin,F,10,3
201148,Brandan Wright,F,34,3
203906,Devyn Marble,F,11,3
203951,Keith Appling,G,15,1
1626266,JJ O'Brien,F,22,3
203930,Sean Kilpatrick,G,6,1
203461,Anthony Bennett,F,15,3
1626214,Bryce Dejean-Jones,G,31,1
203928,Cory Jefferson,F,55,3
203925,Joe Harris,G,12,1
201975,Jodie Meeks,G,20,1
203915,Spencer Dinwiddie,G,8,1
101126,Nate Robinson,G,2,1
203893,Russ Smith,G,2,1
203475,Erick Green,G,11,1
203963,Shayne Whittington,F-C,42,4
201933,Blake Griffin,F,32,3
202349,Greivis Vasquez,G,21,1
203921,Cleanthony Early,F,11,3
1626179,Terry Rozier,G,12,1
1626175,Jordan Mickey,F,55,3
1626174,Christian Wood,F,35,3
202692,Alec Burks,G,10,1
201228,C.J. Watson,G,32,1
1626178,Rondae Hollis-Jefferson,F,24,3
2744,Al Jefferson,C,25,5
203961,Eric Moreland,F-C,25,4
201177,Josh McRoberts,F,4,3
202339,Eric Bledsoe,G,2,1
101236,Chuck Hayes,F-C,44,4
203515,Phil Pressey,G,26,1
1626251,Duje Dukan,F,26,3
1626146,Cliff Alexander,F,34,3
202690,Jimmer Fredette,G,32,1
203962,Josh Huestis,F,34,3
203100,Tony Wroten,G,1,1
1626176,Rakeem Christmas,F,25,3
